type,className,fileName,lineno,CLOC,NOA,NOM
CLASS,DarwinStrategy,D:\ansible\modules\hostname.py,508,94,0,8
CLASS,Hostname,D:\ansible\modules\hostname.py,604,46,3,7
CLASS,SLESHostname,D:\ansible\modules\hostname.py,652,12,2,0
CLASS,RHELHostname,D:\ansible\modules\hostname.py,666,4,3,0
CLASS,CentOSHostname,D:\ansible\modules\hostname.py,672,4,3,0
CLASS,AnolisOSHostname,D:\ansible\modules\hostname.py,678,4,3,0
CLASS,CloudlinuxserverHostname,D:\ansible\modules\hostname.py,684,4,3,0
CLASS,CloudlinuxHostname,D:\ansible\modules\hostname.py,690,4,3,0
CLASS,AlinuxHostname,D:\ansible\modules\hostname.py,696,4,3,0
CLASS,ScientificHostname,D:\ansible\modules\hostname.py,702,4,3,0
CLASS,OracleLinuxHostname,D:\ansible\modules\hostname.py,708,4,3,0
CLASS,VirtuozzoLinuxHostname,D:\ansible\modules\hostname.py,714,4,3,0
CLASS,AmazonLinuxHostname,D:\ansible\modules\hostname.py,720,4,3,0
CLASS,DebianHostname,D:\ansible\modules\hostname.py,726,4,3,0
CLASS,KylinHostname,D:\ansible\modules\hostname.py,732,4,3,0
CLASS,CumulusHostname,D:\ansible\modules\hostname.py,738,4,3,0
CLASS,KaliHostname,D:\ansible\modules\hostname.py,744,4,3,0
CLASS,ParrotHostname,D:\ansible\modules\hostname.py,750,4,3,0
CLASS,UbuntuHostname,D:\ansible\modules\hostname.py,756,4,3,0
CLASS,LinuxmintHostname,D:\ansible\modules\hostname.py,762,4,3,0
CLASS,LinaroHostname,D:\ansible\modules\hostname.py,768,4,3,0
CLASS,DevuanHostname,D:\ansible\modules\hostname.py,774,4,3,0
CLASS,RaspbianHostname,D:\ansible\modules\hostname.py,780,4,3,0
CLASS,UosHostname,D:\ansible\modules\hostname.py,786,4,3,0
CLASS,DeepinHostname,D:\ansible\modules\hostname.py,792,4,3,0
CLASS,GentooHostname,D:\ansible\modules\hostname.py,798,4,3,0
CLASS,ALTLinuxHostname,D:\ansible\modules\hostname.py,804,4,3,0
CLASS,AlpineLinuxHostname,D:\ansible\modules\hostname.py,810,4,3,0
CLASS,OpenBSDHostname,D:\ansible\modules\hostname.py,816,4,3,0
CLASS,SolarisHostname,D:\ansible\modules\hostname.py,822,4,3,0
CLASS,FreeBSDHostname,D:\ansible\modules\hostname.py,828,4,3,0
CLASS,NetBSDHostname,D:\ansible\modules\hostname.py,834,4,3,0
CLASS,NeonHostname,D:\ansible\modules\hostname.py,840,4,3,0
CLASS,DarwinHostname,D:\ansible\modules\hostname.py,846,4,3,0
CLASS,VoidLinuxHostname,D:\ansible\modules\hostname.py,852,4,3,0
CLASS,PopHostname,D:\ansible\modules\hostname.py,858,4,3,0
CLASS,EurolinuxHostname,D:\ansible\modules\hostname.py,864,4,3,0
CLASS,RPM,D:\ansible\modules\package_facts.py,270,37,1,3
CLASS,APT,D:\ansible\modules\package_facts.py,309,48,1,5
CLASS,PACMAN,D:\ansible\modules\package_facts.py,359,37,1,2
CLASS,PKG,D:\ansible\modules\package_facts.py,398,42,2,2
CLASS,PORTAGE,D:\ansible\modules\package_facts.py,442,13,2,2
CLASS,APK,D:\ansible\modules\package_facts.py,457,21,1,2
CLASS,PKG_INFO,D:\ansible\modules\package_facts.py,480,21,1,2
CLASS,Package,D:\ansible\modules\pip.py,617,61,1,5
CLASS,RpmKey,D:\ansible\modules\rpm_key.py,96,139,0,10
CLASS,Service,D:\ansible\modules\service.py,186,270,2,11
CLASS,LinuxService,D:\ansible\modules\service.py,458,537,2,7
CLASS,FreeBsdService,D:\ansible\modules\service.py,997,109,2,4
CLASS,DragonFlyBsdService,D:\ansible\modules\service.py,1108,24,2,1
CLASS,OpenBsdService,D:\ansible\modules\service.py,1134,71,2,4
CLASS,NetBsdService,D:\ansible\modules\service.py,1207,54,2,4
CLASS,SunOSService,D:\ansible\modules\service.py,1263,132,2,6
CLASS,AIX,D:\ansible\modules\service.py,1397,116,2,4
CLASS,BaseService,D:\ansible\modules\service_facts.py,100,4,0,1
CLASS,ServiceScanService,D:\ansible\modules\service_facts.py,106,135,0,5
CLASS,SystemctlScanService,D:\ansible\modules\service_facts.py,243,67,1,4
CLASS,AIXScanService,D:\ansible\modules\service_facts.py,312,27,0,1
CLASS,OpenBSDScanService,D:\ansible\modules\service_facts.py,341,64,0,3
CLASS,Subversion,D:\ansible\modules\subversion.py,141,149,1,13
CLASS,UnarchiveError,D:\ansible\modules\unarchive.py,296,2,0,0
CLASS,ZipArchive,D:\ansible\modules\unarchive.py,300,459,0,8
CLASS,TgzArchive,D:\ansible\modules\unarchive.py,761,173,0,6
CLASS,TarArchive,D:\ansible\modules\unarchive.py,937,5,0,1
CLASS,TarBzipArchive,D:\ansible\modules\unarchive.py,945,4,0,1
CLASS,TarXzArchive,D:\ansible\modules\unarchive.py,952,4,0,1
CLASS,TarZstdArchive,D:\ansible\modules\unarchive.py,959,10,0,1
