type,defName,fileName,lineno,MLOC,PAR,DOC,RMLOC
DEF,GalaxyCLI.__init__,D:\ansible\cli\galaxy.py,212,15,2,0,23
DEF,GalaxyCLI.init_parser,D:\ansible\cli\galaxy.py,236,62,1,0,88
DEF,GalaxyCLI.add_download_options,D:\ansible\cli\galaxy.py,325,13,2,0,18
DEF,GalaxyCLI.add_init_options,D:\ansible\cli\galaxy.py,344,21,2,0,27
DEF,GalaxyCLI.add_remove_options,D:\ansible\cli\galaxy.py,372,3,2,0,5
DEF,GalaxyCLI.add_delete_options,D:\ansible\cli\galaxy.py,378,3,2,0,5
DEF,GalaxyCLI.add_list_options,D:\ansible\cli\galaxy.py,384,10,2,0,15
DEF,GalaxyCLI.add_search_options,D:\ansible\cli\galaxy.py,400,7,2,0,10
DEF,GalaxyCLI.add_import_options,D:\ansible\cli\galaxy.py,411,10,2,0,14
DEF,GalaxyCLI.add_setup_options,D:\ansible\cli\galaxy.py,426,11,2,0,14
DEF,GalaxyCLI.add_info_options,D:\ansible\cli\galaxy.py,441,3,2,0,5
DEF,GalaxyCLI.add_verify_options,D:\ansible\cli\galaxy.py,447,24,2,0,35
DEF,GalaxyCLI.add_install_options,D:\ansible\cli\galaxy.py,483,72,2,0,94
DEF,GalaxyCLI.add_build_options,D:\ansible\cli\galaxy.py,578,7,2,0,13
DEF,GalaxyCLI.add_publish_options,D:\ansible\cli\galaxy.py,592,9,2,0,11
DEF,GalaxyCLI.post_process_args,D:\ansible\cli\galaxy.py,604,5,2,0,10
DEF,GalaxyCLI.run,D:\ansible\cli\galaxy.py,615,69,1,2,136
DEF,GalaxyCLI.server_config_def,D:\ansible\cli\galaxy.py,621,13,4,0,19
DEF,GalaxyCLI.api,D:\ansible\cli\galaxy.py,753,2,1,0,2
DEF,GalaxyCLI._get_default_collection_path,D:\ansible\cli\galaxy.py,756,1,1,0,2
DEF,GalaxyCLI._parse_requirements_file,D:\ansible\cli\galaxy.py,759,36,2,2,103
DEF,GalaxyCLI.parse_role_req,D:\ansible\cli\galaxy.py,809,16,1,0,20
DEF,GalaxyCLI._init_coll_req_dict,D:\ansible\cli\galaxy.py,863,17,2,0,31
DEF,GalaxyCLI.exit_without_ignore,D:\ansible\cli\galaxy.py,896,3,0,0,7
DEF,GalaxyCLI._display_role_info,D:\ansible\cli\galaxy.py,905,17,1,0,26
DEF,GalaxyCLI._resolve_path,D:\ansible\cli\galaxy.py,933,2,1,0,2
DEF,GalaxyCLI._get_skeleton_galaxy_yml,D:\ansible\cli\galaxy.py,937,27,2,2,44
DEF,GalaxyCLI.comment_ify,D:\ansible\cli\galaxy.py,965,5,1,0,8
DEF,GalaxyCLI._require_one_of_collections_requirements,D:\ansible\cli\galaxy.py,982,18,3,0,31
DEF,GalaxyCLI.execute_role,D:\ansible\cli\galaxy.py,1018,1,1,0,7
DEF,GalaxyCLI.execute_collection,D:\ansible\cli\galaxy.py,1026,1,1,0,7
DEF,GalaxyCLI.execute_build,D:\ansible\cli\galaxy.py,1034,13,1,0,22
DEF,GalaxyCLI.execute_download,D:\ansible\cli\galaxy.py,1058,20,1,0,27
DEF,GalaxyCLI.execute_init,D:\ansible\cli\galaxy.py,1086,109,1,0,156
DEF,GalaxyCLI.execute_info,D:\ansible\cli\galaxy.py,1243,35,1,0,53
DEF,GalaxyCLI.execute_verify,D:\ansible\cli\galaxy.py,1298,23,1,0,31
DEF,GalaxyCLI.execute_install,D:\ansible\cli\galaxy.py,1331,54,1,0,88
DEF,GalaxyCLI._execute_install_collection,D:\ansible\cli\galaxy.py,1420,36,4,0,55
DEF,GalaxyCLI._execute_install_role,D:\ansible\cli\galaxy.py,1476,58,2,0,81
DEF,GalaxyCLI.execute_remove,D:\ansible\cli\galaxy.py,1558,11,1,0,19
DEF,GalaxyCLI.execute_list,D:\ansible\cli\galaxy.py,1578,4,1,0,9
DEF,GalaxyCLI.execute_list_role,D:\ansible\cli\galaxy.py,1588,39,1,0,57
DEF,GalaxyCLI.execute_list_collection,D:\ansible\cli\galaxy.py,1647,61,1,0,88
DEF,GalaxyCLI.execute_publish,D:\ansible\cli\galaxy.py,1736,4,1,0,9
DEF,GalaxyCLI.execute_search,D:\ansible\cli\galaxy.py,1746,28,1,0,40
DEF,GalaxyCLI.execute_import,D:\ansible\cli\galaxy.py,1787,41,1,0,56
DEF,GalaxyCLI.execute_setup,D:\ansible\cli\galaxy.py,1844,22,1,0,32
DEF,GalaxyCLI.execute_delete,D:\ansible\cli\galaxy.py,1877,11,1,0,17
DEF,main,D:\ansible\cli\galaxy.py,1896,0,0,0,2
DEF,InventoryCLI.__init__,D:\ansible\cli\inventory.py,35,3,2,0,6
DEF,InventoryCLI.init_parser,D:\ansible\cli\inventory.py,42,23,1,0,38
DEF,InventoryCLI.post_process_args,D:\ansible\cli\inventory.py,83,15,2,0,23
DEF,InventoryCLI.run,D:\ansible\cli\inventory.py,107,31,1,0,49
