class_name,degree,neighbors_count,in_degree,out_degree,self_loops,nodes_inherit,nodes_inherited,nodes_aggregate,nodes_aggregated,nodes_combinate,nodes_combinated,RCLOC,CLOC,NOA,NOM,fileName,lineno
ansible.module_utils.errors.AnsibleValidationError,16,0,16,0,0,0,16,0,0,0,0,12.0,3.0,0.0,2.0,D:\ansible\module_utils\errors.py,12.0
ansible.module_utils.errors.AnsibleValidationErrorMultiple,2,2,0,2,0,1,0,0,0,1,0,37.0,9.0,0.0,8.0,D:\ansible\module_utils\errors.py,26.0
ansible.parsing.yaml.objects.AnsibleVaultEncryptedUnicode,1,1,0,1,0,1,0,0,0,0,0,289.0,78.0,5.0,72.0,D:\ansible\parsing\yaml\objects.py,71.0
ansible.cli.arguments.option_helpers.AnsibleVersion,0,0,0,0,0,0,0,0,0,0,0,5.0,2.0,0.0,1.0,D:\ansible\cli\arguments\option_helpers.py,43.0
ansible.module_utils.facts.system.apparmor.ApparmorFactCollector,1,1,0,1,0,1,0,0,0,0,0,14.0,4.0,2.0,1.0,D:\ansible\module_utils\facts\system\apparmor.py,27.0
ansible.cli.arguments.option_helpers.ArgumentParser,1,1,0,1,0,0,0,0,0,1,0,8.0,2.0,0.0,1.0,D:\ansible\cli\arguments\option_helpers.py,33.0
ansible.module_utils.common.arg_spec.ArgumentSpecValidator,1,0,1,0,0,0,1,0,0,0,0,197.0,2.0,0.0,2.0,D:\ansible\module_utils\common\arg_spec.py,90.0
ansible.module_utils.errors.ArgumentTypeError,1,1,0,1,0,1,0,0,0,0,0,2.0,1.0,0.0,0.0,D:\ansible\module_utils\errors.py,69.0
ansible.module_utils.errors.ArgumentValueError,1,1,0,1,0,1,0,0,0,0,0,2.0,1.0,0.0,0.0,D:\ansible\module_utils\errors.py,73.0
ansible.playbook.attribute.Attribute,2,0,2,0,0,0,2,0,0,0,0,115.0,11.0,0.0,11.0,D:\ansible\playbook\attribute.py,25.0
ansible.playbook.base.Base,12,1,11,1,0,1,8,0,0,0,3,78.0,27.0,23.0,3.0,D:\ansible\playbook\base.py,699.0
ansible.module_utils.facts.collector.BaseFactCollector,29,0,29,0,0,0,29,0,0,0,0,60.0,10.0,4.0,6.0,D:\ansible\module_utils\facts\collector.py,59.0
ansible.utils.encrypt.BaseHash,1,0,1,0,0,0,1,0,0,0,0,11.0,8.0,2.0,1.0,D:\ansible\utils\encrypt.py,65.0
ansible.modules.service_facts.BaseService,4,0,4,0,0,0,4,0,0,0,0,4.0,2.0,0.0,1.0,D:\ansible\modules\service_facts.py,100.0
ansible.modules.hostname.BaseStrategy,9,0,9,0,0,0,9,0,0,0,0,37.0,9.0,0.0,8.0,D:\ansible\modules\hostname.py,102.0
ansible.galaxy.token.BasicAuthToken,0,0,0,0,0,0,0,0,0,0,0,27.0,6.0,1.0,4.0,D:\ansible\galaxy\token.py,160.0
ansible.plugins.become.runas.BecomeModule,0,0,0,0,0,0,0,0,0,0,0,8.0,3.0,1.0,1.0,D:\ansible\plugins\become\runas.py,67.0
ansible.plugins.become.su.BecomeModule,0,0,0,0,0,0,0,0,0,0,0,68.0,38.0,3.0,2.0,D:\ansible\plugins\become\su.py,100.0
ansible.plugins.become.sudo.BecomeModule,0,0,0,0,0,0,0,0,0,0,0,38.0,5.0,3.0,1.0,D:\ansible\plugins\become\sudo.py,83.0
ansible.playbook.block.Block,14,8,6,8,1,6,0,2,4,0,2,407.0,29.0,4.0,24.0,D:\ansible\playbook\block.py,34.0
ansible.modules.user.BusyBox,2,1,1,1,0,1,1,0,0,0,0,131.0,4.0,0.0,3.0,D:\ansible\modules\user.py,2959.0
ansible.modules.group.BusyBoxGroup,2,1,1,1,0,1,1,0,0,0,0,48.0,4.0,0.0,3.0,D:\ansible\modules\group.py,563.0
ansible.utils.context_objects.CLIArgs,2,1,1,1,0,1,1,0,0,0,0,20.0,3.0,0.0,2.0,D:\ansible\utils\context_objects.py,60.0
ansible.module_utils.facts.packages.CLIMgr,6,1,5,1,0,1,5,0,0,0,0,15.0,4.0,1.0,2.0,D:\ansible\module_utils\facts\packages.py,71.0
ansible.plugins.lookup.csvfile.CSVReader,0,0,0,0,0,0,0,0,0,0,0,22.0,4.0,1.0,3.0,D:\ansible\plugins\lookup\csvfile.py,116.0
ansible.plugins.lookup.csvfile.CSVRecoder,0,0,0,0,0,0,0,0,0,0,0,14.0,4.0,1.0,3.0,D:\ansible\plugins\lookup\csvfile.py,100.0
ansible.plugins.cache.jsonfile.CacheModule,0,0,0,0,0,0,0,0,0,0,0,13.0,3.0,0.0,2.0,D:\ansible\plugins\cache\jsonfile.py,50.0
ansible.plugins.cache.memory.CacheModule,0,0,0,0,0,0,0,0,0,0,0,31.0,11.0,0.0,10.0,D:\ansible\plugins\cache\memory.py,22.0
ansible.plugins.callback.default.CallbackModule,0,0,0,0,0,0,0,0,0,0,0,379.0,30.0,3.0,26.0,D:\ansible\plugins\callback\default.py,30.0
ansible.plugins.callback.junit.CallbackModule,0,0,0,0,0,0,0,0,0,0,0,224.0,22.0,4.0,17.0,D:\ansible\plugins\callback\junit.py,101.0
ansible.plugins.callback.minimal.CallbackModule,0,0,0,0,0,0,0,0,0,0,0,57.0,10.0,3.0,6.0,D:\ansible\plugins\callback\minimal.py,22.0
ansible.plugins.callback.oneline.CallbackModule,0,0,0,0,0,0,0,0,0,0,0,56.0,9.0,3.0,5.0,D:\ansible\plugins\callback\oneline.py,20.0
ansible.plugins.callback.tree.CallbackModule,0,0,0,0,0,0,0,0,0,0,0,48.0,11.0,4.0,6.0,D:\ansible\plugins\callback\tree.py,38.0
ansible.executor.task_queue_manager.CallbackSend,0,0,0,0,0,0,0,0,0,0,0,5.0,1.0,0.0,1.0,D:\ansible\executor\task_queue_manager.py,54.0
ansible.galaxy.dependency_resolution.dataclasses.Candidate,1,1,0,1,0,1,0,0,0,0,0,22.0,5.0,0.0,3.0,D:\ansible\galaxy\dependency_resolution\dataclasses.py,612.0
ansible.modules.hostname.CentOSHostname,2,1,1,1,0,1,0,0,0,0,1,4.0,4.0,3.0,0.0,D:\ansible\modules\hostname.py,672.0
ansible.module_utils.facts.system.chroot.ChrootFactCollector,1,1,0,1,0,1,0,0,0,0,0,6.0,4.0,2.0,1.0,D:\ansible\module_utils\facts\system\chroot.py,43.0
ansible.modules.hostname.CloudlinuxHostname,2,1,1,1,0,1,0,0,0,0,1,4.0,4.0,3.0,0.0,D:\ansible\modules\hostname.py,690.0
ansible.modules.hostname.CloudlinuxserverHostname,2,1,1,1,0,1,0,0,0,0,1,4.0,4.0,3.0,0.0,D:\ansible\modules\hostname.py,684.0
ansible.module_utils.facts.system.cmdline.CmdLineFactCollector,1,1,0,1,0,1,0,0,0,0,0,54.0,7.0,2.0,4.0,D:\ansible\module_utils\facts\system\cmdline.py,27.0
ansible.galaxy.dependency_resolution.providers.CollectionDependencyProvider050,1,1,0,1,0,1,0,0,0,0,0,8.0,3.0,0.0,2.0,D:\ansible\galaxy\dependency_resolution\providers.py,463.0
ansible.galaxy.dependency_resolution.providers.CollectionDependencyProvider060,3,1,2,1,0,1,2,0,0,0,0,11.0,3.0,0.0,2.0,D:\ansible\galaxy\dependency_resolution\providers.py,473.0
ansible.galaxy.dependency_resolution.providers.CollectionDependencyProvider070,1,1,0,1,0,1,0,0,0,0,0,4.0,2.0,0.0,1.0,D:\ansible\galaxy\dependency_resolution\providers.py,486.0
ansible.galaxy.dependency_resolution.providers.CollectionDependencyProvider080,1,1,0,1,0,1,0,0,0,0,0,4.0,2.0,0.0,1.0,D:\ansible\galaxy\dependency_resolution\providers.py,492.0
ansible.galaxy.dependency_resolution.providers.CollectionDependencyProviderBase,2,0,2,0,0,0,2,0,0,0,0,414.0,9.0,0.0,8.0,D:\ansible\galaxy\dependency_resolution\providers.py,46.0
ansible.galaxy.dependency_resolution.reporters.CollectionDependencyReporter,0,0,0,0,0,0,0,0,0,0,0,6.0,1.0,0.0,0.0,D:\ansible\galaxy\dependency_resolution\reporters.py,15.0
ansible.galaxy.dependency_resolution.resolvers.CollectionDependencyResolver,0,0,0,0,0,0,0,0,0,0,0,6.0,1.0,0.0,0.0,D:\ansible\galaxy\dependency_resolution\resolvers.py,15.0
ansible.executor.module_common.CollectionModuleUtilLocator,1,1,0,1,0,1,0,0,0,0,0,54.0,4.0,0.0,3.0,D:\ansible\executor\module_common.py,816.0
ansible.playbook.collectionsearch.CollectionSearch,7,0,7,0,0,0,6,0,0,0,1,28.0,3.0,1.0,1.0,D:\ansible\playbook\collectionsearch.py,35.0
ansible.galaxy.api.CollectionVersionMetadata,0,0,0,0,0,0,0,0,0,0,0,24.0,1.0,0.0,1.0,D:\ansible\galaxy\api.py,248.0
ansible.module_utils.facts.ansible_collector.CollectorMetaDataCollector,1,1,0,1,0,1,0,0,0,0,0,16.0,5.0,2.0,2.0,D:\ansible\module_utils\facts\ansible_collector.py,104.0
ansible.module_utils.facts.collector.CollectorNotFoundError,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,0.0,D:\ansible\module_utils\facts\collector.py,55.0
ansible.modules.hostname.CommandStrategy,1,1,0,1,0,1,0,0,0,0,0,25.0,7.0,1.0,5.0,D:\ansible\modules\hostname.py,174.0
ansible.galaxy.collection.concrete_artifact_manager.ConcreteArtifactsManager,0,0,0,0,0,0,0,0,0,0,0,333.0,18.0,0.0,18.0,D:\ansible\galaxy\collection\concrete_artifact_manager.py,49.0
ansible.playbook.conditional.Conditional,5,0,5,0,0,0,5,0,0,0,0,83.0,6.0,1.0,5.0,D:\ansible\playbook\conditional.py,31.0
ansible.cli.config.ConfigCLI,1,0,1,0,0,0,0,0,0,0,1,565.0,20.0,1.0,18.0,D:\ansible\cli\config.py,84.0
ansible.config.manager.ConfigManager,1,1,0,1,0,0,0,0,0,1,0,343.0,18.0,2.0,15.0,D:\ansible\config\manager.py,277.0
ansible.module_utils.connection.Connection,0,0,0,0,0,0,0,0,0,0,0,6.0,2.0,0.0,1.0,D:\ansible\module_utils\connection.py,95.0
ansible.plugins.connection.local.Connection,0,0,0,0,0,0,0,0,0,0,0,155.0,9.0,2.0,6.0,D:\ansible\plugins\connection\local.py,40.0
ansible.plugins.connection.paramiko_ssh.Connection,1,1,0,1,0,0,0,1,0,0,0,377.0,16.0,1.0,13.0,D:\ansible\plugins\connection\paramiko_ssh.py,323.0
ansible.plugins.connection.psrp.Connection,1,0,1,0,0,0,0,0,0,0,1,570.0,17.0,5.0,10.0,D:\ansible\plugins\connection\psrp.py,341.0
ansible.plugins.connection.ssh.Connection,0,0,0,0,0,0,0,0,0,0,0,844.0,22.0,2.0,19.0,D:\ansible\plugins\connection\ssh.py,561.0
ansible.plugins.connection.winrm.Connection,0,0,0,0,0,0,0,0,0,0,0,655.0,23.0,5.0,17.0,D:\ansible\plugins\connection\winrm.py,241.0
ansible.module_utils.connection.ConnectionError,0,0,0,0,0,0,0,0,0,0,0,6.0,2.0,0.0,1.0,D:\ansible\module_utils\connection.py,95.0
